name,number,id,path,description,aliases,courseQuality,professorQuality,difficulty,amountLearned,workRequired,RecommendToMajor,RecommendToNonMajor,numberReviewers
PSYCHOLOGY OF FOOD,null,36420,/courses/36420,,[PSYC-070],3.69,3.63,0.8,-1.0,1.47,-1.0,-1.0,16
SEMINAR IN NEUROSCIENCE: BRAINS BEHIND RADIOLAB,null,43424,/courses/43424,Radiolab is a show about curiosity. Where sound illuminates ideas and the boundaries blur between science philosophy and human experience. This seminar is a course about curiosity. In particular this seminar will develop and nurture your curiosity about the mind and the brain about human thought and behavior and about the biology of the human experience. Every month hours of radio programs and podcasts are aired- ranging from science-themed shows such as Radiolab and Invisibilia (and locally produced The Pulse) to more general interest shows like This American Life and TED Radio Hour-that highlight the scientific study of the human mind. Behind every podcast are dozens of laboratories publications and investigators (including students) who make the science behind the show. We will explore the Brains behind Radiolab through a careful study of the primary sources that report the psychological and neuroscientific findings that thousands of listeners tune every week. You will practice the craft of conveying scientific findings to audiences with different levels of expertise and background in science; and you will learn about the important role that scientists play in enhancing public understanding of human behavior.,[PSYC-447],3.14,3.71,2.14,-1.0,2.64,-1.0,-1.0,14
ANCIENT MED EMPIRES,null,36699,/courses/36699,What constituted an empire in antiquity and how was imperialism legitimized? Which measures were used to maintain and organize imperial power? How did foreign rule affect the daily life of people all over the Mediterranean? In this course we will discuss and compare ancient empires from Achaemenid Persia to Alexander the Great and the Hellenistic kingdoms of his successors to the emergence of Rome as one of the most successful and influential empires in world history. Topics that will be discussed include ancient ideas and concepts of imperial rule patterns of political economic and cultural power and their interrelations as well as imperial crises and local resistance. All texts will be discussed in translation. There are no prerequisites although it would be useful to have some background in ancient history.,[ANCH-146 -- CLST-146],3.25,3.44,2.23,-1.0,2.38,-1.0,-1.0,17
STRAT & COMPET ADVANTAGE,null,44516,/courses/44516,This course is concerned with strategy issues at the business unit level. Its focus is on the question of how firms can create and sustain a competitive advantage. A central part of the course deals with concepts that have been developed around the notions of complementarities and fit. Other topics covered in the course include the creation of competitive advantage through commitment competitor analysis different organizational responses to environmental changes modularity and increasing returns. An important feature of the course is a term-length project in which groups of students work on firm analyses that require the application of the course concepts.,[MGMT-701],2.9,2.9,2.53,3.0,2.7,2.87,3.31,61
SOFTWARE SYSTEMS,null,39732,/courses/39732,This course provides an introduction to fundamental concepts of distributed systems and the design principles for building large scale computational systems. Topics covered include communication concurrency programming paradigms naming managing shared state caching synchronization reaching agreement fault tolerance security middleware and distributed applications. This course is appropriate as an upper-level undergraduate CIS elective.,[CIS-505],3.24,3.35,3.23,3.3,3.43,1.52,3.43,35
ARCHITECTURE IN THE ANTHROPOCENE,null,40950,/courses/40950,This course will use architecture and the built environmental as a lens to investigate the emerging field of the environmental humanities. Our goal will be to analyze and understand these new intellectual frameworks in order to consider the relationship between global environmental challenges and the process of constructing the built environment. As such we will oscillate between social and political theory environmental history and architectural history and theory. Issues of importance will include: theories of risk the role of nature in political conflicts; images design and environmental communication; and the relationship between speculative design and other narratives of the future. These conceptual frameworks will be read alongside examples of related creative projects in art literature and architecture and will be amplified through presentations and discussions with studio faculty and other visitors to the course.,[ARCH-111],2.63,2.71,1.57,2.63,1.75,2.13,2.0,8
PRICING POLICY,null,40347,/courses/40347,The course provides a systematic presentation of the factors to be considered when setting price and shows how pricing alternatives are developed. Analytical methods are developed and new approaches are explored for solving pricing decisions.,[MKTG-754 -- MKTG-254],2.22,2.26,2.05,1.9,2.11,1.7,2.2,28
INTERMEDIATE JAPANESE II,null,43010,/courses/43010,PREREQUISITES Completion of JPAN 211 or the equivalent.A continuation of Japanese language at the intermediate level.Textbooks: Tobira: Gateway to Advanced Japanese (Unit 6-Unit 10) Kanji: reproduction-approx.400/recognitio-approx.550,[JPAN-212],3.86,4.0,-1.0,-1.0,2.43,-1.0,-1.0,7
TOPICS FILM HISTORY: REALISM & WORLD CINEMA,null,42521,/courses/42521,This topic course explores aspects of Film History intensively. Specific coursetopics vary from year to year. See the Cinema Studies website at <http://cinemastudies.sas.upenn.edu/> for a description of the current This offerings.,[CIMS-201 -- ARTH-391 -- ENGL-291 -- COML-201],3.41,3.59,2.06,-1.0,2.11,-1.0,-1.0,22
Infrastructure Investment and Economic Growth: Why How and When,null,42865,/courses/42865,Infrastructure is widely acknowledged to be critical for economic success and infrastructure investments are promoted as leading to economic growth either at the local or national level. Yet investments in telecommunications transportation energy or other infrastructure do not always yield the hoped public benefit. This course will help answer the question: Under what circumstances does infrastructure investment contribute to economic growth and how do we know? Because government resources are limited advocates often must be creative to find sufficient funding to get desirable projects completed. This course will also help answer the question: How do we pay for the infrastructure projects we want to build? The course will illustrate approaches to answering these questions using case studies of past and proposed investments.,[GAFL-534],1.85,2.1,2.44,-1.0,2.28,-1.0,-1.0,20
INTRO TO LAW & LEG PROC,null,38823,/courses/38823,This course presents law as an evolving social institution with special emphasis on the legal regulation of business. It considers basic concepts of law and legal process in the U.S. and other legal systems and introduces the fundamentals of rigorous legal analysis. An in-depth examination of contract law is included.,[LGST-101],3.16,3.34,3.1,3.25,2.66,2.28,2.97,38
TOPIC IN ANC IRANIAN ART: THE ARCHAEOLOGY OF THE PERSIAN GULF FROM THE NEOLITHIC TO THE ROMANS,null,43746,/courses/43746,Topic varies.,[ARTH-522 -- AAMW-522],4.0,4.0,3.0,-1.0,3.0,-1.0,-1.0,1
TOPICS IN ROMANTICISM: WORDSWORTH AND COLERIDGE,null,41306,/courses/41306,This course explores an aspect of Romantic literature intensively; specific course topics will vary from year to year.,[ENGL-250],3.0,3.63,2.75,-1.0,2.25,-1.0,-1.0,8
SPORT SCIENCE & MEDICINE,null,44988,/courses/44988,Why did Lance Armstrong get caught? Why do Kenyans win marathons? Does Gatorade really work? In this course we won't answer these questions ourselves but will rely upon the methods of history sociology and anthropology to explore the world of the sport scientists who do. Sport scientists produce knowledge about how human bodies work and the intricacies of human performance. They bring elite (world-class) athletes to their laboratories-or their labs to the athletes. Through readings discussions and original research we will find out how these scientists determine the boundary between natural and performance-enhanced work to conquer the problem of fatigue and establish the limits and potential of human beings. Course themes include: technology in science and sport the lab vs. the field genetics and race the politics of the body and doping. Course goals include: 1) reading scientific and medical texts critically and assessing their social cultural and political origins and ramifications; 2) pursuing an in-depth,[STSC-411 -- HSOC-411],3.36,3.45,3.36,-1.0,3.55,-1.0,-1.0,12
ENERGY FINANCE,null,44194,/courses/44194,The objective of this course is to provide students with detailed knowledge of corporate structures valuation methods project finance risk management practices corporate governance issues and geo-political risks in the energy industry. In general this course seeks to provide students with an overall context for understanding energy issues and risks and how these might affect financing and investment decisions for both providers of energy and end-users of energy.,[FNCE-256],3.53,3.6,2.86,3.64,2.79,2.93,3.5,15
COUNTER THE LAND: PHOTOGRAPHY AND THE LANDSCAPE,null,39983,/courses/39983,Starting with the representaion of landscape in painting in the early 1800s the course will then move through Pictorialsim and the Modernist movement in photography. Revisiting the later half of the 20th century we will begin to consider the shifting practices of landscape and the ways it has been photographically depicted up to the present. Collaborating with the Brandywine River Museum of Art in Chadds Ford students will begin their photographic exploration with the work of Andrea Wyeth and the landscape of the Brandywine Valley. As we consider Wyeth the imges of James Welling will aslo be introduced. Credited for pioneering new forms of representation in photography in the 1970s Welling also revisited the work of Wyeth from 2010-2015 and committed to a fresh (and challenging) look at tradition.,[FNAR-348 -- FNAR-648],3.75,4.0,2.5,3.0,2.5,2.5,3.25,4
Modern and Contemporary Spanish Literature: Penn in Madrid,null,45314,/courses/45314,Topics vary. Please see the Spanish Department's website for the current course description: https://www.sas.upenn.edu/hispanic-portuguese-studies/pc,[SPAN-380],3.5,3.63,2.38,-1.0,2.25,-1.0,-1.0,8
INTRO TO ASIAN AMER HIST,null,38734,/courses/38734,This course will provide an introduction to the history of Asian Pacific Americans focusing on the wide diversity of migrant experiences as well as the continuing legacies of Orientalism on American-born APA's. Issues of race class gender and sexuality will also be examined.,[HIST-155 -- ASAM-003],2.44,2.62,2.15,-1.0,2.41,-1.0,-1.0,123
GIFTS COMMODITIES AND THE MARKET: ANTHROPOLOGY OF THE ECONOMY,null,43692,/courses/43692,What is the difference between a farmer's market in West Philadelphia and a bazaar in Cairo? What is the meaning of a gift between friends? What about gifts between enemies? What are the origins meaning and purpose of money? What is the relationship between politics and the economy? This course will begin to answer these questions by introducing the field of economic anthropology. The economy is not an isolated phenomenon: it is interconnected with socio-cultural and political factors thus challenging our conception of what is truly considered to be economic. By highlighting the cultural diversity of economic systems across time and space including our own contemporary global economy students will learn what can be considered natural about the economy and what is contingent on historical factors of culture society or politics.,[ANTH-153],3.0,3.31,1.92,-1.0,2.62,-1.0,-1.0,13
HIST MID EAST SINCE 1800,null,40113,/courses/40113,A survey of the modern Middle East with special emphasis on the experiences of ordinary men and women as articulated in biographies novels and regional case studies. Issues covered include the collapse of empires and the rise of a new state system following WWI and the roots and consequences of the Palestinian-Israeli conflict the Iranian revolution and the U.S.-Iraq War. Themes include: the colonial encounter with Europe and the emergence of nationalist movements the relationship between state and society economic development and international relations and religion and cultural identity.,[HIST-081 -- NELC-031],2.44,2.49,2.64,-1.0,3.07,-1.0,-1.0,63
NEUROSCIENCE OF EMOTIONS,null,38201,/courses/38201,This course will provide an overview of past and current theories of emotion and the neurobiological systems that underpin them. Topics will include how we perceive express and experience emotions and the role of emotion in motivated thoughts actions and experiences. Special attention will be paid to social aspects of emotion. The course will highlight the role that evolution neurodevelopment and clinical observation play in our understandingof emotional processes.,[BIBB-331],1.43,1.39,2.58,-1.0,1.95,-1.0,-1.0,23
OLD ENGLISH,null,37445,/courses/37445,The main purpose of this course is to teach students to read Old English (Anglo-Saxon) chiefly but not exclusively for research in linguistics. Grammar will be heavily emphasized; there will also be lectures on the immediate prehistory of the language since the morphology of Old English was made unusually complex by interacting sound changes. In the first eight weeks we will work through Moore and Knott's Elements of Grammar and learn the grammar; the remainder of the term will be devoted to reading texts.,[LING-411],3.6,3.8,3.25,-1.0,3.0,-1.0,-1.0,5
RETAIL MERCHANDISING,null,40351,/courses/40351,This course provides a detailed introduction to the role of merchandising at various retailers including apparel and other soft lines businesses grocery stores mass-merchandisers and category killers. Selected topics may include product development line planning sourcing product life cycle forecasting planning and allocation pricing and markdowns and vendor relations.,[MKTG-806 -- MKTG-306],2.35,2.52,1.56,2.12,1.84,1.76,2.32,32
FUND OF ACTUARIAL SCI II,null,39364,/courses/39364,This specialized course is usually only taken by Wharton students who plan to concentrate in actuarial science and Penn students who plan to minor in actuarial mathematics. It provides a comprehensive analysis of advanced life contingencies problems such as reserving multiple life functions multiple decrement theory with application to the valuation of pension plans.,[STAT-452 -- BEPP-852 -- STAT-852 -- BEPP-452],3.0,3.0,3.5,3.13,3.25,0.88,3.13,11
LSMP CAPSTONE,null,38868,/courses/38868,,[LSMP-421],3.65,3.05,3.84,3.53,3.84,1.79,3.42,21
TECH & ENTRPSHIP INDIA,null,44739,/courses/44739,,[OIDD-892 -- WH-210],3.29,3.56,1.76,2.88,1.76,3.0,3.0,19
LEG ASP ENTREPRENRSHP,null,38843,/courses/38843,Legal and Transactional Aspects of Entrepreneurship is a practical and intensive course that examines the critical legal and transactional issues confronting start-up and emerging growth companies. Although the context of the course is early stage companies many of the concepts studied are equally applicable to more mature established companies. The course provides perspective on how to use the law strategically to manage risk deploy resources and maximize shareholder value. Topics include the enforceability of confidentiality non-competition and other restrictive covenants in employment agreements; choice of business form including the legal financial and tax advantages and disadvantages of general partnerships limited partnerships corporations and limited liability companies; tax and securities law; legal aspects of raising capital including structuring venture capital and private equity financing; entrepreneurial acquisition structures employment law and intellectual property law including trade secrets copyrights patents and trademarks.,[LGST-813],3.46,3.63,2.89,3.44,2.41,3.22,3.65,71
ANCIENT MEDITERRANEAN: Textiles Dress and Bronze Age Interconnections,null,38149,/courses/38149,Topic varies.,[ARTH-521 -- AAMW-521],3.5,4.0,3.0,-1.0,3.0,-1.0,-1.0,2
Fictions of Exceptionality in 20th-Century Latin American Literature,null,39354,/courses/39354,Topics vary. Please see the Spanish Department's website for the current course description: https://www.sas.upenn.edu/hispanic-portuguese-studies/pc,[SPAN-394 -- LALS-394],3.57,3.93,2.64,-1.0,2.73,-1.0,-1.0,14
African Immigrant Lives in West Phila.,null,35246,/courses/35246,This seminar will examine the experiences of recent African immigrants and refugees in Philadelphia in an historical framework. We will employ a variety of sources-newspapers census data legal briefs literature and film and diaspora internet sites-to explore the lives aspirations and perceptions of Philadelphia's African residents. There will be opportunities for dialogue with high school students teachers and parents; with representatives of African community and business organizations; and with local government and service agencies. Students will be required to do a final project which involves volunteering with an African immigrant non-profit or business and/or conducting focused research on specific African communities in Philadelphia.,[AFST-167 -- HIST-167 -- URBS-167 -- AFRC-167],3.0,3.18,2.18,-1.0,2.45,-1.0,-1.0,11
RUSSIAN & EAST EUROPEAN FILM AFTER WORLD WAR II,null,44895,/courses/44895,The purpose of this course is to present the Russian and East European contribution to world cinema in terms of film theory experimentation with the cinematic language and social and political reflex. We discuss major themes and issues such as means of visual propaganda and the cinematic component to the communist cultural revolutions party ideology and practices of social-engineering cinematic response to the emergence of the totalitarian state in Russia and its subsequent installation in Eastern Europe after World War II.,[RUSS-165 -- CIMS-165 -- EEUR-165],2.76,2.94,1.17,-1.0,1.33,-1.0,-1.0,19
20TH C LIT & THEORY: DOCUMENTARY CINEMA,null,44102,/courses/44102,This course treats some aspect of literary and cultural politics in the 20th-Century with emphasis varying by instructor.,[ENGL-592 -- COML-592 -- CIMS-592],3.36,3.64,2.89,-1.0,2.67,-1.0,-1.0,11
Spanish Culture and Civilization: Penn-in-Madrid,null,45312,/courses/45312,A study of the Spanish character as revealed in its history geography language literature art music social institutions and ethnic traditions. This course is primarily designed for the Spanish major and other with an interest in Hispanic culture.,[SPAN-226],3.67,4.0,2.0,-1.0,2.33,-1.0,-1.0,6
CALCULUS II,null,40250,/courses/40250,Functions of several variables vector-valued functions partial derivatives and applications double and triple integrals conic sections polar coordinates vectors and vector calculus first order ordinary differential equations. Applications to physical sciences. Use of symbolic manipulation and graphics software in calculus.,[MATH-114],1.08,0.95,3.45,-1.0,3.42,-1.0,-1.0,131
INTERNATIONAL ORGANIZATIONS IN LATIN AMERICA,null,43022,/courses/43022,International Organizations play a powerful role in mitigating conflict at the global level. What role do they play in solving problems related to global politics economic development corruption inequality and civil society in Latin America? How much power influence and control do they possess in the region? This course examines the role and impact international organizations have had on Latin America since the mid-20th century. After a review of theoretical and methodological persectives on the significance of IOs in international relations students will examine the workings issues and often controversies surrounding IOs in Latin America including the IMF World Bank UN OAS and ICC as wellas regional organizations such as the Inter-American Court of Human Rights and area trade blocs and agreements of Mercosur NAFTA and others. Students will also explore the regional impact of transnational civil society organizations such as human rights organizations and the International Olympic Committee. Students will be invited to participate in the Washington Model OAS from April 10-17.,[LALS-208 -- PSCI-208],2.3,2.4,2.0,-1.0,2.6,-1.0,-1.0,10
PHILOSOPHY OF PSYCHOLOGY: MIND IN NATURE,null,41972,/courses/41972,Where is mind to be found in nature? Is it revealed by end-driven behavior by mental contents by the ability to perceive an external environment? This seminar will consider these and related questions as they arise in selected spisodes from the history of philosophy and in contemporary discussions of the evolution of minds brains and behavior,[PHIL-526 -- GRMN-527],4.0,4.0,4.0,-1.0,3.5,-1.0,-1.0,3
QUALITY AND PRODUCTIVITY,null,39125,/courses/39125,Matching supply with demand is an enormous challenge for firms: excess supply is too costly inadequate supply irritates customers. In the course we will explore how firms can better organize their operations so that they more effectively align their supply with the demand for their products and services. Throughout the course we illustrate mathematical analysis applied to real operational challenges--we seek rigor and relevance. Our aim is to provide both tactical knowledge and high-level insights needed by general managers and management consultants. We will demonstrate that companies can use (and have used) the principles from this course to significantly enhance their competitiveness.,[OIDD-611],3.45,3.66,2.6,3.34,2.49,3.1,3.23,48
SEMINARS IN THRY & COMP,null,40388,/courses/40388,Advanced seminar in topics of music theory and compositions.,[MUSC-370],2.14,3.14,1.83,-1.0,1.5,-1.0,-1.0,8
PROBLEM FRAMING,null,44365,/courses/44365,In the second semester of the four-semester studio sequence we ask students to take a step back from what and how they are designing and ask the question of why they are designing it. We will teach them a rigorous process for understanding stakeholder needs and for translating those needs into implications for product design. They will begin to develop greater awareness of the personal social competitive and technological contexts that their products fit into and to learn how to design for those contexts. They will develop the ability to dive into a topic and frame a design problem and to understand the implications of how they frame the problem on what they design. Ideally they will use this process to identify a problem or opportunity to work on for their final project. Course work will involve readings assignments class participation in-class exercises and a final submission.,[IPD-552],3.33,3.53,2.92,3.31,3.38,2.46,3.58,16
FROM GALEN TO GALILEO: SCIENCE BEFORE THE SCIENTIFIC REVOLUTION,null,38730,/courses/38730,,[HIST-101],1.67,3.0,1.67,-1.0,2.67,-1.0,-1.0,3
PHASE TRANSFORMATIONS,null,44569,/courses/44569,The state of matter is dependent upon temperature thermal history and other variables. In this course the science of structural transitions is treated with the purpose in mind of utilizing them for producing materials with superior properties. The subjects covered include the methods of structural analysis solidification solid state transformation and order-disorder transition.,[MSE-440],2.67,2.67,1.86,2.43,1.86,1.0,3.14,9
PHIL & VISUAL PERCEPTION: COLOR PERCEPTION,null,36337,/courses/36337,Do colors look differently to housepainters or artists than to the layperson? This course explores the evidence from psychology that colors do look differently to experts. It also examines the philosophical implications that follow from this. We will read literature from philosophy and psychology exploring the nature of color color perception and perceptual learning. We will dig deep into evidence from psychology that experience changes one's color perception (Delk and Fillenbaum 1965; Goldstone 1995; and Hansen et al. 2006). Along the way we will address philosophical questions such as how we can arrive at shared knowledge of color given that our perceptual systems are flexible and potentially divergent from one another.,[PHIL-423 -- VLST-223],2.88,2.88,2.38,-1.0,2.15,-1.0,-1.0,18
Sinners Sex and Slaves: Race and Sex in Early America,null,35936,/courses/35936,This course explores the lost worlds of sinners witches sexual offenders rebellious slaves and Native American prophets from the seventeenth to nineteenth centuries. Using the life stories of unusual individuals from the past we try to make sense of their contentious relationships with their societies. By following the careers of the trouble-makers the criminals and the rebels we also learn about the foundations of social order and the impulse to reform that rocked American society during the nineteenth century.,[HIST-345 -- AFRC-345 -- GSWS-345],2.82,3.06,2.26,-1.0,2.41,-1.0,-1.0,33
Mexican Conspiracies: Literature & Politics in Contemporary Narrative,null,36552,/courses/36552,Topics vary. See the Romance Languages Department's website at http://ccat.sas.upenn.edu/roml for a description of the current offerings.,[SPAN-394 -- LALS-394],2.83,3.33,2.33,-1.0,2.67,-1.0,-1.0,12
FUND OF MATERIALS,null,40366,/courses/40366,This course will provide a graduate level introduction to the science and engineering of materials. It is designed specifically to meet the needs of students who will be doing research that involves materials but who do not have an extensive background in the field. The focus is on fundamental aspects of materials science and will emphasize phenomena and how to describe them . The course assumes an undergraduate background in any area of physical/chemical science and undergraduate mathematics appropriate to this. The course will also be accessible to students of applied mathematics.,[MSE-507 -- MEAM-507],2.8,3.0,3.1,3.11,2.3,2.7,2.6,10
MANAGEMENT OF TECHNOLOGY,null,37515,/courses/37515,The course is designed to meet the needs of the future managers entrepreneurs consultants and investors who must analyze and develop business strategies in technology-based industries. The emphasis is on learning conceptual models and frameworks to help navigate the complexity and dynamism in such industries. This is not a course in new product development or in using information technology to improve business processes and offerings. We will take a perspective of both established and emerging firms competing through technological innovations and study the key strategic drivers of value creation and appropriation in the context of business ecosystems.,[MGMT-237],3.13,3.25,2.39,3.33,2.39,2.61,3.33,24
Forensic Neuroscience,null,43789,/courses/43789,Progress in behavioral neuroscience and brain imaging techniques such as functional and structural Magnetic Resonance Imaging (MRI) and Positron Emission Tomography (PET) has forced the courts to reconsider the role of behavioral sciences in courtroom decision-making. The goal of this course is to enable students to understand and interpret the use of behaviorial neuro evidence in the justice system. The course will introduce the students to the relevant behavioral neuroscience constructs principles of brain imaging and rules of scientific evidence. Students will be asked to use this introductory knowledge to critically evaluate the use of brain imaging and other behavioral neuroscience techniques as evidence in representative legal cases. For each case students will serve as neuroscience experts for the defense or prosecution and prepare present and defend their testimony against the opposing team. Through this course students will develop the ability to critically evaluate brain imaging and other neuroscience data in forensic and legal settings.,[BIBB-050],2.4,2.8,2.0,-1.0,1.58,-1.0,-1.0,16
BIOMATERIALS,null,43764,/courses/43764,This course investigates the application of materials science and engineering to biomedical applications with a focus on polymers ceramics and metals. The course will cover concepts related to basic material fabrication and synthesis structure and property characterization as well as applications of biomaterials. The lecture and recitation will be complemented with laboratory examples of material assessment and characterization.,[BE-220],2.76,3.31,2.34,2.87,2.27,1.43,3.19,62
LSMP PROSEMINAR,null,41667,/courses/41667,,[LSMP-121],3.61,3.7,1.74,3.47,1.89,2.61,3.37,23
Introduction to Cultural Anthropology,null,43683,/courses/43683,An introduction to the anthropological study of human social and cultural diversity throughout the world with special emphasis on the development of the idea of culture as an analytical concept. The course includes sections on the ethnographic research method and on the library of ethnographic material relating to cultural change in different parts of the world that anthropology has produced since the 19th century.,[ANTH-002],2.72,2.92,1.94,-1.0,2.22,-1.0,-1.0,25
ELEMENTARY HUNGARIAN I,null,37040,/courses/37040,An introduction to the fundamentals of the Hungarian language acquisition of conversational readings and writing skills.,[EEUR-121],3.23,3.43,-1.0,-1.0,1.0,-1.0,-1.0,14
ASP-SHAREHOLDER ACTIVISM,null,42816,/courses/42816,The aim of the course is to provide an introduction to shareholder activism. The course makes use of lectures and case studies. The lectures expose the students to the institutional and empirical facts as well as approaches followed by leading shareholder activists. The case studies are designed to provide students an experience on identifying potential opportunity for value creation thrugh active engagement. Assignments require students to develop/practice skills on fundamental analysis.,[FNCE-387],2.88,3.15,2.05,2.9,2.0,2.33,3.14,37
HISTORY MEMORY AND NOSTALGIA IN MODERN EUROPE,null,44325,/courses/44325,Topics vary,[HIST-230 -- GRMN-232],3.0,3.38,2.5,-1.0,2.88,-1.0,-1.0,8
DIG INTEG CIRC&VLSI-FUND,null,44140,/courses/44140,Explores the design aspects involved in the realization of an integrated circuit from device up to the register/subsystem level. It addresses major design methodologies with emphasis placed on the structured design. The course includes the study of MOS device characteristics the critical interconnect and gate characteristics which determine the performance of VLSI circuits and NMOS and CMOS logic design. Students will use state-of-the-art CAD tools to verify designs and develop efficient circuit layouts.,[ESE-570],2.92,2.88,2.57,3.0,2.57,1.65,3.0,25
TOPICS INTL BUS DEVELOPM: Brazil,null,45047,/courses/45047,This short-term international business course gives undergraduate students an amazing global opportunity featuring business-site visitslectures at partner schools cultural excursions and networking opportunities with undergraduate students and business contacts from the destination countries. In addition to learning abou another country's business environment and culture students earn 0.5 course units that can be used towards business-breadth or elective credits.,[WH-298],3.68,3.05,2.06,3.94,2.12,3.63,3.65,19
COMPARATIVE POL COMM,null,35559,/courses/35559,This course explores major themes in the study of political communication from a comparative perspective. It focuses on how communication affects political behavior attitudes and outcomes. In doing so we question the forces that shape media institutions and how different political and social institutions shape individual-level communication effects. The course is designed to provide a greater understanding of comparative political communication theories as well as to develop social science reasoning and methodology. Readings class discussions and assignments move back and forth between theories empirical evidence and public policies. The readings include research from Europe Asia Africa the Middle East Latin America and North America though Europe receives somewhat more attention due to the richness of comparative data and research for that region.,[COMM-403 -- PSCI-410],2.46,2.77,2.78,2.67,3.0,1.44,2.67,14
INTRO TO AFRO-AMER POL,null,40586,/courses/40586,This course is an historical survey of the main bases and substances of politics among black Americans and the relation of black politics to the American political order. Its two main objectives are: 1) to provide a general sense of pertinent historical issues and relations as a way of helping to make sense of the present and 2) to develop criteria for evaluating political scientists' and others' claims regarding the status and characteristics of black American political activity.,[PSCI-233],2.55,2.8,2.25,-1.0,2.33,-1.0,-1.0,25
RETAIL SUPP CHAIN MGMT,null,39123,/courses/39123,,[OIDD-397 -- OIDD-697],2.89,2.6,2.02,2.65,2.18,2.29,3.0,54
WORK AND GENDER,null,42138,/courses/42138,This seminar examines the relevance of gender to the organization and experience of paid and unpaid work. Combining materialist and social constructionist approaches we will consider occupational segregation the relation of work and family gender and class solidarity the construction of gender through work race and class variation in work experiences and related topics.,[SOCI-542 -- GSWS-542],2.44,2.56,2.57,-1.0,2.86,-1.0,-1.0,9
MAKING/MEDIEVAL INDIA,null,42111,/courses/42111,This course will provide an in-depth understanding of South Asia in what is often called its 'medieval' period--from the rise of the great temple kingdoms until the end of the Delhi Sultanate in the sixteenth century (c. 500 CE - c. 1500 CE). This millennium is arguably one of the most transformative in South Asia's history a period when many of its most distinctive social and cultural features evolved. The course will provide both an overview of the period as well as an introduction to major interpretations and types of sources (textual visual and archaeological). The focus throughout the course will be on the heterogeneous development of states societies and cultures with special attention to long-term processes of transformation. One set of themes explored will be largely social and economic focusing on the development of agrarian and peasant societies aristocracies and intellectuals as well as the role of mercantile pastoralist nomadic and forest-living groups. Another set of themes will explore cultural transformation including the development transformation and interaction of religious practices the emergence of cosmopolitan and regional literary cultures and the rise of distinctive urban courtly and rural worldviews.,[SAST-562],3.86,3.88,3.63,-1.0,3.63,-1.0,-1.0,8
MDVL ISLAMIC ART & ARCH,null,35327,/courses/35327,An introduction to the major architectural monuments and trends as well as to the best-known objects of the medieval (seventh-to fourteenth-century) Islamic world. Attention is paid to such themes as the continuity of late antique themes architecture as symbol of community and power the importance of textiles and primacy of writing. Suitable for students of literature history anthropology as well as art history.,[ARTH-435 -- COML-415 -- NELC-489 -- AAMW-435],2.0,2.0,1.86,-1.0,1.71,-1.0,-1.0,7
GERMAN CENTURY:1890-1990,null,37334,/courses/37334,Topics vary,[HIST-230 -- GRMN-232 -- ITAL-230],3.17,3.75,2.0,-1.0,2.2,-1.0,-1.0,12
PHIL OF SOCIAL SCIENCE,null,44757,/courses/44757,This course is about the foundations of contemporary social science. It focuses on the nature of social systems the similarities and differences between social and natural sciences the construction analysis and confirmation of social theories and the nature of social explanations. Specific topics may include: What are social norms and conventions? What does it mean to have one gender rather than another or one sexual orientation rather than another? Should social systems be studied quantitatively or qualitatively?,[PHIL-228 -- PPE-314],1.68,2.27,2.41,-1.0,2.41,-1.0,-1.0,109
SPORT POLITICS AND LITERATURE IN ITALIAN CULTURE AND BEYOND,null,43003,/courses/43003,Topics vary. Please check the department's website for a course description at: http://www.sas.upenn.edu/italians/courses,[ITAL-300 -- CIMS-300],3.43,3.64,1.44,-1.0,1.78,-1.0,-1.0,15
HUMAN REPRODUCTIVE ECOLOGY,null,43713,/courses/43713,This course explores the processes that regulate fertility in human populations. We adopt an evolutionary perspective to examine the factors that have shaped human reproductive physiology and contribute to variation in reproductive parameters between populations. The biology of menarche ovarian cycling pregnancy lactation fetal loss and menopause will be reviewed and the ecological and social factors that influence these steps in the reproductive process will be considered.,[ANTH-447 -- GSWS-447],3.5,3.75,2.25,-1.0,2.75,-1.0,-1.0,4
FOUNDATIONS OF LEADERSHP,null,38412,/courses/38412,The goal of EAS 595 is to increase your capacity to effectively lead throughout your career and wherever you find yourself in an organization. This involves understanding and learning about yourself and about working effectively with others. The course starts with an identification of values strengths preferences and passions. It then proceeds with the personal and interpersonal and moves through the strategic aspects o f leadership by bringing together aspects of management science social psychology psychology of personality and behavioral economics. Topics include teamwork and team dynamics identifying life's goals and dreams  decision making valuing differences understanding the dynamics of influence using power with integrity giving and receiving feedback leading change and discovering where we can make our contribution.,[EAS-595],2.97,3.45,1.78,3.04,2.15,3.04,3.11,31
MEDICINE AND DEVELOPMENT,null,40160,/courses/40160,This course is devoted to readings and research about medicine and development in resource-poor countries. The focus is on medical instiutions and practices as seen within the broader context of development. We try to understand changing interpretations of how development takes place--of its relationship to technical knowledge power and inequality. The course give students the opportunity to do intensive original research.,[HSOC-421],3.8,3.9,2.6,-1.0,3.0,-1.0,-1.0,10
